respondent_id,age,gender,zone,occupation,income_levels,consume_frequency(weekly),current_brand,preferable_consumption_size,awareness_of_other_brands,reasons_for_choosing_brands,flavor_preference,purchase_channel,packaging_preference,health_concerns,typical_consumption_situations,price_range
r29423,23,f,urban,student,none,3-4 times,established,medium (500 ml),0 to 1,price,exotic,retail store,simple,low (not very concerned),"active (eg. sports, gym)",50-100
r29424,51,m,metro,working professional,16l - 25l,0-2 times,newcomer,small (250 ml),2 to 4,brand reputation,exotic,retail store,simple,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r29425,24,m,metro,student,none,5-7 times,established,small (250 ml),0 to 1,price,traditional,online,premium,low (not very concerned),casual (eg. at home),100-150
r29426,20,f,metro,working professional,10l - 15l,5-7 times,established,medium (500 ml),above 4,price,exotic,online,premium,medium (moderately health-conscious),casual (eg. at home),200-250
r29427,25,m,semi-urban,student,none,3-4 times,newcomer,medium (500 ml),above 4,availability,exotic,online,simple,low (not very concerned),"active (eg. sports, gym)",50-100
r29428,45,m,metro,working professional,10l - 15l,5-7 times,established,medium (500 ml),0 to 1,availability,exotic,retail store,simple,high (very health-conscious),casual (eg. at home),150-200
r29429,26,f,urban,working professional,<10l,3-4 times,newcomer,large (1 l),0 to 1,price,exotic,online,eco-friendly,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r29430,22,f,metro,student,none,5-7 times,established,medium (500 ml),0 to 1,price,exotic,online,simple,high (very health-conscious),social (eg. parties),100-150
r29431,60,f,metro,retired,<10l,0-2 times,newcomer,small (250 ml),0 to 1,availability,traditional,online,premium,medium (moderately health-conscious),casual (eg. at home),100-150
r29432,18,m,metro,student,none,0-2 times,established,medium (500 ml),2 to 4,availability,exotic,online,simple,high (very health-conscious),"active (eg. sports, gym)",100-150
r29433,39,m,semi-urban,working professional,10l - 15l,0-2 times,newcomer,medium (500 ml),0 to 1,price,exotic,online,simple,low (not very concerned),"active (eg. sports, gym)",100-150
r29434,31,f,urban,working professional,10l - 15l,0-2 times,newcomer,small (250 ml),0 to 1,availability,exotic,online,simple,high (very health-conscious),social (eg. parties),100-150
r29435,48,f,urban,entrepreneur,10l - 15l,5-7 times,newcomer,medium (500 ml),2 to 4,availability,traditional,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r29436,34,m,metro,working professional,<10l,3-4 times,established,large (1 l),0 to 1,price,traditional,online,simple,low (not very concerned),social (eg. parties),100-150
r29437,23,m,urban,student,none,3-4 times,established,large (1 l),2 to 4,price,exotic,online,premium,medium (moderately health-conscious),casual (eg. at home),100-150
r29438,35,f,rural,working professional,16l - 25l,0-2 times,established,small (250 ml),0 to 1,brand reputation,exotic,retail store,simple,medium (moderately health-conscious),casual (eg. at home),100-150
r29439,41,m,urban,working professional,16l - 25l,3-4 times,newcomer,medium (500 ml),above 4,availability,exotic,online,eco-friendly,medium (moderately health-conscious),social (eg. parties),200-250
r29440,27,m,semi-urban,working professional,10l - 15l,0-2 times,established,small (250 ml),0 to 1,availability,traditional,online,premium,high (very health-conscious),casual (eg. at home),100-150
r29441,33,f,metro,working professional,<10l,0-2 times,established,small (250 ml),0 to 1,price,exotic,online,simple,high (very health-conscious),"active (eg. sports, gym)",100-150
r29442,44,m,urban,entrepreneur,16l - 25l,5-7 times,established,small (250 ml),above 4,brand reputation,exotic,retail store,simple,high (very health-conscious),"active (eg. sports, gym)",200-250
r29443,52,f,metro,working professional,> 35l,3-4 times,established,medium (500 ml),2 to 4,quality,traditional,retail store,simple,high (very health-conscious),casual (eg. at home),200-250
r29444,27,m,urban,working professional,16l - 25l,0-2 times,newcomer,medium (500 ml),2 to 4,price,exotic,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r29445,33,m,semi-urban,working professional,<10l,5-7 times,established,small (250 ml),0 to 1,price,traditional,retail store,eco-friendly,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r29446,21,m,rural,student,none,5-7 times,established,small (250 ml),2 to 4,price,exotic,retail store,simple,low (not very concerned),"active (eg. sports, gym)",50-100
r29447,40,m,metro,entrepreneur,10l - 15l,3-4 times,newcomer,medium (500 ml),2 to 4,price,traditional,online,premium,low (not very concerned),social (eg. parties),150-200
r29448,30,m,urban,working professional,26l - 35l,3-4 times,newcomer,medium (500 ml),0 to 1,quality,traditional,retail store,eco-friendly,high (very health-conscious),"active (eg. sports, gym)",200-250
r29449,28,m,urban,working professional,26l - 35l,5-7 times,established,medium (500 ml),2 to 4,brand reputation,exotic,online,eco-friendly,medium (moderately health-conscious),social (eg. parties),200-250
r29450,45,m,metro,entrepreneur,10l - 15l,3-4 times,established,large (1 l),2 to 4,price,traditional,retail store,simple,high (very health-conscious),social (eg. parties),200-250
r29451,20,m,urban,working professional,16l - 25l,3-4 times,newcomer,medium (500 ml),2 to 4,brand reputation,exotic,online,simple,high (very health-conscious),"active (eg. sports, gym)",150-200
r29452,19,m,metro,working professional,10l - 15l,0-2 times,established,medium (500 ml),above 4,availability,traditional,online,simple,high (very health-conscious),casual (eg. at home),150-200
r29453,19,m,metro,student,none,5-7 times,newcomer,medium (500 ml),2 to 4,availability,traditional,retail store,eco-friendly,low (not very concerned),"active (eg. sports, gym)",100-150
r29454,42,m,urban,entrepreneur,10l - 15l,3-4 times,newcomer,large (1 l),0 to 1,availability,traditional,retail store,simple,high (very health-conscious),social (eg. parties),150-200
r29455,44,f,urban,working professional,> 35l,5-7 times,established,medium (500 ml),2 to 4,brand reputation,exotic,retail store,premium,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r29456,33,m,metro,working professional,10l - 15l,3-4 times,newcomer,medium (500 ml),above 4,price,exotic,online,premium,medium (moderately health-conscious),casual (eg. at home),150-200
r29457,21,f,urban,student,none,3-4 times,established,medium (500 ml),0 to 1,price,exotic,retail store,simple,low (not very concerned),social (eg. parties),100-150
r29458,47,m,urban,working professional,26l - 35l,0-2 times,established,small (250 ml),0 to 1,quality,traditional,online,simple,high (very health-conscious),"active (eg. sports, gym)",200-250
r29459,31,m,rural,working professional,26l - 35l,0-2 times,newcomer,small (250 ml),0 to 1,price,exotic,online,simple,medium (moderately health-conscious),casual (eg. at home),150-200
r29460,20,f,metro,student,none,5-7 times,established,medium (500 ml),2 to 4,price,exotic,online,simple,low (not very concerned),"active (eg. sports, gym)",100-150
r29461,37,m,semi-urban,working professional,16l - 25l,5-7 times,newcomer,small (250 ml),0 to 1,price,exotic,retail store,simple,medium (moderately health-conscious),social (eg. parties),150-200
r29462,24,f,metro,entrepreneur,10l - 15l,5-7 times,established,large (1 l),2 to 4,price,exotic,online,simple,low (not very concerned),"active (eg. sports, gym)",100-150
r29463,44,m,metro,working professional,10l - 15l,3-4 times,newcomer,medium (500 ml),2 to 4,price,exotic,retail store,premium,low (not very concerned),casual (eg. at home),150-200
r29464,25,m,metro,working professional,10l - 15l,0-2 times,established,small (250 ml),0 to 1,price,exotic,online,premium,high (very health-conscious),"active (eg. sports, gym)",150-200
r29465,24,m,metro,student,none,5-7 times,newcomer,medium (500 ml),above 4,price,exotic,online,simple,high (very health-conscious),"active (eg. sports, gym)",150-200
r29466,51,m,urban,working professional,26l - 35l,5-7 times,established,small (250 ml),2 to 4,brand reputation,traditional,online,premium,high (very health-conscious),casual (eg. at home),200-250
r29467,36,m,metro,working professional,10l - 15l,3-4 times,established,medium (500 ml),2 to 4,availability,exotic,online,premium,low (not very concerned),casual (eg. at home),150-200
r29468,40,f,semi-urban,working professional,10l - 15l,3-4 times,newcomer,medium (500 ml),0 to 1,availability,traditional,retail store,eco-friendly,high (very health-conscious),casual (eg. at home),100-150
r29469,30,m,semi-urban,working professional,16l - 25l,3-4 times,newcomer,medium (500 ml),0 to 1,availability,traditional,retail store,eco-friendly,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r29470,36,f,urban,working professional,16l - 25l,3-4 times,established,large (1 l),2 to 4,brand reputation,traditional,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r29471,32,f,rural,entrepreneur,10l - 15l,5-7 times,newcomer,small (250 ml),above 4,price,exotic,retail store,simple,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r29472,24,m,urban,working professional,16l - 25l,3-4 times,established,medium (500 ml),2 to 4,brand reputation,traditional,online,eco-friendly,low (not very concerned),"active (eg. sports, gym)",150-200
r29473,19,f,metro,student,none,0-2 times,newcomer,medium (500 ml),2 to 4,price,exotic,online,simple,high (very health-conscious),social (eg. parties),100-150
r29474,52,f,semi-urban,entrepreneur,16l - 25l,0-2 times,newcomer,small (250 ml),0 to 1,availability,exotic,online,simple,low (not very concerned),casual (eg. at home),100-150
r29475,20,m,metro,working professional,<10l,0-2 times,established,medium (500 ml),0 to 1,price,exotic,retail store,simple,medium (moderately health-conscious),"active (eg. sports, gym)",50-100
r29476,24,m,metro,student,none,3-4 times,newcomer,large (1 l),0 to 1,price,traditional,online,premium,high (very health-conscious),social (eg. parties),100-150
r29477,38,m,metro,working professional,16l - 25l,0-2 times,established,small (250 ml),2 to 4,brand reputation,traditional,retail store,premium,low (not very concerned),casual (eg. at home),150-200
r29478,36,m,semi-urban,working professional,16l - 25l,5-7 times,newcomer,large (1 l),2 to 4,price,traditional,online,simple,medium (moderately health-conscious),casual (eg. at home),150-200
r29479,29,m,urban,working professional,16l - 25l,3-4 times,established,large (1 l),0 to 1,quality,exotic,online,premium,low (not very concerned),casual (eg. at home),150-200
r29480,19,f,semi-urban,student,none,3-4 times,established,large (1 l),0 to 1,availability,exotic,retail store,eco-friendly,high (very health-conscious),casual (eg. at home),50-100
r29481,51,m,urban,entrepreneur,10l - 15l,0-2 times,newcomer,medium (500 ml),2 to 4,availability,traditional,retail store,premium,medium (moderately health-conscious),casual (eg. at home),150-200
r29482,23,m,urban,student,none,3-4 times,established,small (250 ml),0 to 1,price,exotic,online,simple,low (not very concerned),casual (eg. at home),50-100
r29483,36,m,urban,entrepreneur,26l - 35l,5-7 times,newcomer,large (1 l),2 to 4,quality,exotic,retail store,premium,high (very health-conscious),social (eg. parties),200-250
r29484,34,m,metro,working professional,16l - 25l,3-4 times,newcomer,large (1 l),2 to 4,price,traditional,online,premium,medium (moderately health-conscious),social (eg. parties),150-200
r29485,40,m,metro,working professional,16l - 25l,3-4 times,established,large (1 l),0 to 1,quality,exotic,retail store,premium,low (not very concerned),"active (eg. sports, gym)",150-200
r29486,22,m,metro,working professional,10l - 15l,5-7 times,newcomer,medium (500 ml),above 4,price,traditional,retail store,simple,high (very health-conscious),"active (eg. sports, gym)",200-250
r29487,40,f,semi-urban,working professional,10l - 15l,3-4 times,newcomer,medium (500 ml),0 to 1,price,exotic,online,simple,medium (moderately health-conscious),casual (eg. at home),100-150
r29488,42,f,rural,working professional,16l - 25l,3-4 times,established,medium (500 ml),0 to 1,brand reputation,exotic,retail store,simple,medium (moderately health-conscious),social (eg. parties),150-200
r29489,44,m,metro,working professional,> 35l,5-7 times,established,large (1 l),above 4,quality,exotic,retail store,eco-friendly,medium (moderately health-conscious),social (eg. parties),200-250
r29490,56,m,urban,retired,10l - 15l,5-7 times,established,large (1 l),0 to 1,price,traditional,retail store,simple,high (very health-conscious),"active (eg. sports, gym)",150-200
r29491,18,m,urban,working professional,10l - 15l,3-4 times,established,medium (500 ml),above 4,price,exotic,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r29492,34,f,urban,working professional,<10l,5-7 times,established,small (250 ml),2 to 4,availability,traditional,online,simple,high (very health-conscious),social (eg. parties),150-200
r29493,25,f,metro,student,none,0-2 times,newcomer,small (250 ml),0 to 1,price,traditional,retail store,eco-friendly,low (not very concerned),social (eg. parties),50-100
r29494,27,f,metro,entrepreneur,26l - 35l,5-7 times,newcomer,large (1 l),above 4,brand reputation,exotic,online,simple,high (very health-conscious),"active (eg. sports, gym)",200-250
r29495,42,f,urban,working professional,26l - 35l,0-2 times,established,medium (500 ml),2 to 4,brand reputation,exotic,online,premium,low (not very concerned),casual (eg. at home),200-250
r29496,35,f,rural,working professional,26l - 35l,5-7 times,established,large (1 l),0 to 1,quality,traditional,online,simple,high (very health-conscious),social (eg. parties),200-250
r29497,24,m,metro,student,none,5-7 times,established,medium (500 ml),2 to 4,availability,traditional,online,simple,low (not very concerned),social (eg. parties),100-150
r29498,26,m,metro,entrepreneur,26l - 35l,3-4 times,newcomer,small (250 ml),0 to 1,quality,exotic,online,premium,medium (moderately health-conscious),casual (eg. at home),200-250
r29499,20,f,metro,working professional,<10l,3-4 times,established,medium (500 ml),2 to 4,availability,exotic,retail store,simple,high (very health-conscious),"active (eg. sports, gym)",150-200
r29500,40,f,metro,entrepreneur,> 35l,3-4 times,newcomer,medium (500 ml),0 to 1,price,exotic,retail store,eco-friendly,high (very health-conscious),casual (eg. at home),200-250
r29501,45,m,metro,working professional,10l - 15l,5-7 times,established,small (250 ml),2 to 4,availability,traditional,retail store,simple,high (very health-conscious),social (eg. parties),200-250
r29502,18,m,metro,working professional,16l - 25l,5-7 times,established,medium (500 ml),2 to 4,quality,traditional,online,premium,high (very health-conscious),casual (eg. at home),200-250
r29503,19,m,semi-urban,student,none,0-2 times,established,small (250 ml),0 to 1,availability,traditional,online,simple,low (not very concerned),social (eg. parties),50-100
r29504,56,f,rural,retired,<10l,0-2 times,newcomer,medium (500 ml),above 4,price,traditional,retail store,eco-friendly,high (very health-conscious),"active (eg. sports, gym)",150-200
r29505,27,m,rural,working professional,16l - 25l,3-4 times,newcomer,large (1 l),0 to 1,availability,traditional,retail store,premium,high (very health-conscious),social (eg. parties),150-200
r29506,42,f,metro,working professional,16l - 25l,5-7 times,newcomer,large (1 l),2 to 4,brand reputation,traditional,online,premium,low (not very concerned),"active (eg. sports, gym)",200-250
r29507,34,m,urban,working professional,26l - 35l,3-4 times,established,medium (500 ml),above 4,quality,exotic,online,premium,high (very health-conscious),"active (eg. sports, gym)",200-250
r29508,43,f,urban,working professional,16l - 25l,3-4 times,established,medium (500 ml),above 4,brand reputation,traditional,online,eco-friendly,medium (moderately health-conscious),social (eg. parties),200-250
r29509,47,m,semi-urban,working professional,26l - 35l,3-4 times,established,small (250 ml),0 to 1,quality,exotic,online,premium,low (not very concerned),casual (eg. at home),200-250
r29510,20,m,rural,student,none,0-2 times,established,small (250 ml),2 to 4,price,traditional,retail store,simple,high (very health-conscious),casual (eg. at home),50-100
r29511,31,m,urban,working professional,10l - 15l,5-7 times,established,small (250 ml),2 to 4,availability,exotic,online,premium,low (not very concerned),casual (eg. at home),150-200
r29512,29,f,metro,entrepreneur,16l - 25l,5-7 times,newcomer,medium (500 ml),above 4,quality,traditional,retail store,premium,medium (moderately health-conscious),casual (eg. at home),200-250
r29513,19,m,metro,student,none,3-4 times,newcomer,medium (500 ml),0 to 1,price,exotic,retail store,simple,medium (moderately health-conscious),social (eg. parties),50-100
r29514,36,f,urban,working professional,16l - 25l,5-7 times,newcomer,small (250 ml),above 4,brand reputation,traditional,retail store,premium,high (very health-conscious),social (eg. parties),200-250
r29515,30,f,semi-urban,entrepreneur,<10l,3-4 times,established,medium (500 ml),0 to 1,price,exotic,retail store,simple,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r29516,24,f,metro,entrepreneur,16l - 25l,0-2 times,newcomer,medium (500 ml),above 4,quality,traditional,retail store,premium,high (very health-conscious),social (eg. parties),200-250
r29517,37,m,urban,working professional,<10l,5-7 times,established,medium (500 ml),2 to 4,price,exotic,online,eco-friendly,medium (moderately health-conscious),casual (eg. at home),150-200
r29518,34,f,semi-urban,working professional,26l - 35l,3-4 times,established,small (250 ml),2 to 4,brand reputation,exotic,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r29519,39,m,metro,entrepreneur,26l - 35l,5-7 times,established,large (1 l),2 to 4,brand reputation,traditional,online,premium,low (not very concerned),"active (eg. sports, gym)",200-250
r29520,29,f,urban,working professional,16l - 25l,0-2 times,newcomer,small (250 ml),2 to 4,brand reputation,traditional,online,premium,medium (moderately health-conscious),social (eg. parties),150-200
r29521,31,m,metro,working professional,16l - 25l,3-4 times,established,large (1 l),2 to 4,brand reputation,exotic,online,eco-friendly,high (very health-conscious),casual (eg. at home),200-250
r29522,26,f,semi-urban,working professional,26l - 35l,3-4 times,established,small (250 ml),2 to 4,brand reputation,exotic,retail store,eco-friendly,low (not very concerned),"active (eg. sports, gym)",150-200
r29523,34,m,metro,student,none,3-4 times,established,medium (500 ml),0 to 1,price,exotic,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r29524,30,f,semi-urban,working professional,26l - 35l,3-4 times,newcomer,medium (500 ml),0 to 1,price,traditional,online,simple,high (very health-conscious),social (eg. parties),200-250
r29525,55,f,urban,working professional,> 35l,3-4 times,established,medium (500 ml),above 4,quality,traditional,online,premium,low (not very concerned),social (eg. parties),200-250
r29526,31,m,semi-urban,working professional,16l - 25l,3-4 times,established,small (250 ml),0 to 1,brand reputation,traditional,retail store,premium,high (very health-conscious),social (eg. parties),150-200
r29527,49,m,metro,entrepreneur,16l - 25l,5-7 times,established,medium (500 ml),2 to 4,brand reputation,traditional,retail store,eco-friendly,high (very health-conscious),casual (eg. at home),200-250
r29528,44,m,metro,entrepreneur,10l - 15l,5-7 times,established,medium (500 ml),above 4,availability,traditional,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r29529,37,f,urban,working professional,<10l,3-4 times,newcomer,medium (500 ml),2 to 4,price,exotic,retail store,simple,medium (moderately health-conscious),social (eg. parties),150-200
r29530,21,f,metro,entrepreneur,16l - 25l,5-7 times,newcomer,small (250 ml),above 4,quality,traditional,online,premium,low (not very concerned),social (eg. parties),200-250
r29531,34,m,urban,working professional,> 35l,5-7 times,established,medium (500 ml),2 to 4,brand reputation,traditional,retail store,premium,high (very health-conscious),"active (eg. sports, gym)",200-250
r29532,38,m,rural,working professional,26l - 35l,3-4 times,newcomer,large (1 l),2 to 4,price,exotic,online,simple,high (very health-conscious),social (eg. parties),200-250
r29533,19,f,urban,student,none,0-2 times,newcomer,small (250 ml),2 to 4,price,traditional,retail store,simple,high (very health-conscious),social (eg. parties),100-150
r29534,23,m,urban,student,none,3-4 times,newcomer,medium (500 ml),2 to 4,availability,traditional,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",50-100
r29535,53,f,rural,working professional,10l - 15l,5-7 times,established,large (1 l),0 to 1,price,traditional,online,premium,high (very health-conscious),casual (eg. at home),200-250
r29536,40,m,metro,working professional,26l - 35l,3-4 times,established,medium (500 ml),0 to 1,quality,exotic,online,premium,high (very health-conscious),casual (eg. at home),200-250
r29537,38,f,semi-urban,working professional,10l - 15l,3-4 times,established,medium (500 ml),0 to 1,price,exotic,retail store,premium,medium (moderately health-conscious),casual (eg. at home),100-150
r29538,18,m,semi-urban,student,none,3-4 times,established,small (250 ml),0 to 1,price,traditional,retail store,simple,medium (moderately health-conscious),casual (eg. at home),50-100
r29539,58,m,metro,entrepreneur,> 35l,0-2 times,established,small (250 ml),above 4,brand reputation,traditional,online,premium,high (very health-conscious),social (eg. parties),200-250
r29540,20,m,urban,student,none,3-4 times,newcomer,small (250 ml),2 to 4,price,traditional,online,simple,low (not very concerned),"active (eg. sports, gym)",100-150
r29541,26,f,urban,working professional,> 35l,3-4 times,newcomer,medium (500 ml),2 to 4,availability,exotic,online,simple,high (very health-conscious),"active (eg. sports, gym)",200-250
r29542,31,m,rural,working professional,16l - 25l,0-2 times,newcomer,small (250 ml),0 to 1,price,traditional,retail store,simple,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r29543,39,m,urban,working professional,10l - 15l,5-7 times,established,medium (500 ml),above 4,price,exotic,retail store,simple,low (not very concerned),social (eg. parties),150-200
r29544,38,m,metro,working professional,26l - 35l,5-7 times,established,medium (500 ml),2 to 4,quality,traditional,retail store,eco-friendly,medium (moderately health-conscious),casual (eg. at home),200-250
r29545,45,m,metro,working professional,<10l,0-2 times,established,medium (500 ml),0 to 1,price,exotic,retail store,simple,high (very health-conscious),"active (eg. sports, gym)",100-150
r29546,34,m,metro,entrepreneur,16l - 25l,3-4 times,newcomer,medium (500 ml),0 to 1,price,exotic,online,premium,low (not very concerned),social (eg. parties),150-200
r29547,45,m,metro,entrepreneur,> 35l,3-4 times,established,medium (500 ml),above 4,brand reputation,traditional,online,premium,low (not very concerned),casual (eg. at home),200-250
r29548,21,m,urban,student,none,3-4 times,established,medium (500 ml),above 4,price,traditional,online,premium,medium (moderately health-conscious),social (eg. parties),100-150
r29549,30,f,metro,student,none,3-4 times,established,medium (500 ml),0 to 1,availability,traditional,retail store,simple,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
r29550,27,f,urban,working professional,<10l,3-4 times,newcomer,medium (500 ml),2 to 4,price,exotic,online,premium,low (not very concerned),"active (eg. sports, gym)",100-150
r29551,28,f,metro,working professional,10l - 15l,5-7 times,newcomer,large (1 l),above 4,price,exotic,online,simple,high (very health-conscious),social (eg. parties),200-250
r29552,20,m,semi-urban,student,none,3-4 times,newcomer,small (250 ml),2 to 4,price,traditional,retail store,simple,low (not very concerned),casual (eg. at home),50-100
r29553,45,m,metro,working professional,> 35l,5-7 times,established,medium (500 ml),0 to 1,quality,exotic,retail store,premium,high (very health-conscious),social (eg. parties),200-250
r29554,19,m,urban,working professional,16l - 25l,5-7 times,established,large (1 l),0 to 1,quality,traditional,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r29555,19,m,urban,entrepreneur,16l - 25l,3-4 times,newcomer,medium (500 ml),2 to 4,quality,exotic,retail store,simple,low (not very concerned),"active (eg. sports, gym)",150-200
r29556,54,m,semi-urban,working professional,<10l,0-2 times,established,small (250 ml),0 to 1,price,exotic,online,simple,high (very health-conscious),casual (eg. at home),100-150
r29557,25,f,urban,student,none,0-2 times,newcomer,large (1 l),2 to 4,price,traditional,retail store,simple,high (very health-conscious),social (eg. parties),100-150
r29558,35,f,urban,student,none,0-2 times,established,medium (500 ml),0 to 1,price,traditional,online,premium,medium (moderately health-conscious),social (eg. parties),100-150
r29559,22,m,urban,entrepreneur,26l - 35l,5-7 times,established,large (1 l),above 4,brand reputation,traditional,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",200-250
r29560,36,f,urban,working professional,16l - 25l,0-2 times,newcomer,medium (500 ml),0 to 1,price,exotic,retail store,premium,medium (moderately health-conscious),casual (eg. at home),150-200
r29561,24,f,metro,student,none,0-2 times,newcomer,medium (500 ml),2 to 4,price,exotic,retail store,eco-friendly,high (very health-conscious),"active (eg. sports, gym)",100-150
r29562,20,f,metro,student,none,3-4 times,newcomer,small (250 ml),2 to 4,price,exotic,online,simple,low (not very concerned),"active (eg. sports, gym)",50-100
r29563,34,m,semi-urban,working professional,10l - 15l,0-2 times,newcomer,small (250 ml),2 to 4,availability,exotic,retail store,simple,medium (moderately health-conscious),casual (eg. at home),100-150
r29564,42,f,urban,working professional,16l - 25l,5-7 times,newcomer,medium (500 ml),2 to 4,quality,traditional,online,premium,medium (moderately health-conscious),casual (eg. at home),200-250
r29565,29,f,urban,entrepreneur,<10l,5-7 times,newcomer,medium (500 ml),0 to 1,availability,exotic,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r29566,27,f,urban,working professional,10l - 15l,3-4 times,established,large (1 l),above 4,price,exotic,online,eco-friendly,medium (moderately health-conscious),social (eg. parties),150-200
r29567,29,m,metro,student,none,3-4 times,established,small (250 ml),2 to 4,availability,exotic,online,premium,medium (moderately health-conscious),casual (eg. at home),100-150
r29568,35,f,urban,entrepreneur,26l - 35l,3-4 times,established,medium (500 ml),0 to 1,quality,traditional,online,premium,medium (moderately health-conscious),social (eg. parties),200-250
r29569,38,f,metro,entrepreneur,10l - 15l,0-2 times,newcomer,medium (500 ml),2 to 4,price,exotic,retail store,eco-friendly,high (very health-conscious),"active (eg. sports, gym)",200-250
r29570,19,m,semi-urban,student,none,3-4 times,established,medium (500 ml),0 to 1,price,traditional,retail store,eco-friendly,high (very health-conscious),casual (eg. at home),50-100
r29571,27,m,urban,working professional,26l - 35l,3-4 times,newcomer,small (250 ml),2 to 4,quality,traditional,online,premium,high (very health-conscious),social (eg. parties),200-250
r29572,22,m,urban,student,none,3-4 times,newcomer,medium (500 ml),0 to 1,price,traditional,retail store,simple,medium (moderately health-conscious),casual (eg. at home),50-100
r29573,25,f,urban,student,none,0-2 times,newcomer,small (250 ml),0 to 1,price,traditional,online,simple,low (not very concerned),social (eg. parties),50-100
r29574,20,m,metro,student,none,0-2 times,newcomer,medium (500 ml),2 to 4,price,traditional,online,simple,high (very health-conscious),social (eg. parties),100-150
r29575,21,f,urban,student,none,3-4 times,newcomer,small (250 ml),2 to 4,price,exotic,online,simple,high (very health-conscious),casual (eg. at home),100-150
r29576,20,m,metro,student,none,3-4 times,established,small (250 ml),2 to 4,price,traditional,online,simple,medium (moderately health-conscious),casual (eg. at home),100-150
r29577,60,m,rural,retired,<10l,0-2 times,newcomer,medium (500 ml),0 to 1,price,traditional,online,simple,high (very health-conscious),social (eg. parties),100-150
r29578,25,f,urban,student,none,5-7 times,newcomer,large (1 l),2 to 4,availability,exotic,retail store,simple,high (very health-conscious),social (eg. parties),150-200
r29579,65,m,urban,retired,10l - 15l,0-2 times,established,large (1 l),2 to 4,price,exotic,online,premium,high (very health-conscious),casual (eg. at home),150-200
r29580,21,m,urban,working professional,<10l,0-2 times,established,small (250 ml),0 to 1,price,traditional,retail store,simple,medium (moderately health-conscious),"active (eg. sports, gym)",50-100
r29581,22,f,semi-urban,student,none,3-4 times,newcomer,medium (500 ml),0 to 1,price,exotic,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",50-100
r29582,20,m,urban,student,none,0-2 times,newcomer,small (250 ml),0 to 1,availability,exotic,retail store,simple,medium (moderately health-conscious),social (eg. parties),50-100
r29583,44,m,urban,entrepreneur,10l - 15l,3-4 times,established,small (250 ml),2 to 4,price,exotic,retail store,premium,medium (moderately health-conscious),"active (eg. sports, gym)",150-200
r29584,32,f,metro,working professional,> 35l,0-2 times,established,medium (500 ml),above 4,quality,exotic,online,simple,high (very health-conscious),"active (eg. sports, gym)",200-250
r29585,44,f,urban,entrepreneur,<10l,3-4 times,established,large (1 l),0 to 1,price,traditional,online,eco-friendly,high (very health-conscious),"active (eg. sports, gym)",150-200
r29586,28,m,urban,working professional,16l - 25l,5-7 times,newcomer,medium (500 ml),2 to 4,brand reputation,traditional,retail store,simple,high (very health-conscious),casual (eg. at home),200-250
r29587,24,m,metro,student,none,3-4 times,newcomer,medium (500 ml),0 to 1,price,traditional,online,simple,medium (moderately health-conscious),"active (eg. sports, gym)",50-100
r29588,48,f,semi-urban,working professional,> 35l,3-4 times,newcomer,medium (500 ml),2 to 4,price,traditional,online,premium,medium (moderately health-conscious),social (eg. parties),200-250
r29589,31,f,metro,working professional,<10l,0-2 times,established,small (250 ml),2 to 4,price,traditional,online,premium,low (not very concerned),"active (eg. sports, gym)",150-200
r29590,42,f,metro,entrepreneur,10l - 15l,3-4 times,newcomer,small (250 ml),above 4,price,traditional,retail store,simple,medium (moderately health-conscious),social (eg. parties),200-250
r29591,43,m,urban,entrepreneur,10l - 15l,3-4 times,established,small (250 ml),above 4,price,exotic,online,simple,high (very health-conscious),"active (eg. sports, gym)",200-250
r29592,23,f,metro,working professional,<10l,3-4 times,established,medium (500 ml),0 to 1,price,traditional,online,simple,high (very health-conscious),social (eg. parties),150-200
r29593,45,m,metro,working professional,26l - 35l,3-4 times,newcomer,small (250 ml),2 to 4,brand reputation,exotic,online,simple,high (very health-conscious),casual (eg. at home),200-250
r29594,21,m,metro,student,none,5-7 times,newcomer,medium (500 ml),0 to 1,price,exotic,online,premium,medium (moderately health-conscious),"active (eg. sports, gym)",100-150
